symbol,createTime,openingTime
SOL_USDT,1601014066000,0
SUI_USDT,1683115171000,0
VINE_USDT,1737608292000,0
DOGE_USDT,1603683981000,0
ADA_USDT,1594213380000,0
MUBARAK_USDT,1742007765000,0
PI_USDT,1739511352000,1740038520000
HOLD_USDT,1734097287000,1734354000000
PEPE_USDT,1681900341000,0
AVAX_USDT,1600772156000,0
LINK_USDT,1592820127000,0
ENA_USDT,1712055825000,0
TRUMPOFFICIAL_USDT,1737171820000,0
WIF_USDT,1704980313000,0
AAVE_USDT,1602819218000,0
HBAR_USDT,1617155502000,0
TAO_USDT,1706670696000,0
ONDO_USDT,1705754473000,0
POPCAT_USDT,1712028120000,0
LTC_USDT,1592213599000,0
DOT_USDT,1598502591000,0
TONCOIN_USDT,1636797086000,0
TIA_USDT,1698766130000,0
WLD_USDT,1690190939000,0
OP_USDT,1654048691000,0
NEAR_USDT,1602669179000,0
INJ_USDT,1661146663000,0
SEI_USDT,1692105013000,0
SHIB_USDT,1620709589000,0
CAKE_USDT,1682482377000,0
ARB_USDT,1679578751000,0
PNUT_USDT,1730863785000,1730864580000
ATOM_USDT,1592820787000,0
CRV_USDT,1599550096000,0
TST_USDT,1739025873000,0
MOODENG_USDT,1727326929000,0
KAS_USDT,1669636338000,0
ORDI_USDT,1683529115000,0
AI16Z_USDT,1734580041000,1734581520000
FILECOIN_USDT,1602853176000,0
EIGEN_USDT,1727605508000,1727756100000
LDO_USDT,1658110741000,0
HYPE_USDT,1734604558000,1734605400000
MANA_USDT,1617249030000,0
S_USDT,1736481350000,0
FET_USDT,1675655601000,0
FLOKI_USDT,1674880667000,0
RENDER_USDT,1721984965000,0
APE_USDT,1647530224000,0
UNI_USDT,1600320623000,0
JASMY_USDT,1637570485000,0
DOGS_USDT,1724671579000,0
NOT_USDT,1715864618000,0
PENGU_USDT,1734422178000,1734442080000
VIRTUAL_USDT,1730457954000,1730458680000
XLM_USDT,1603174391000,0
ALGO_USDT,1595473052000,0
RUNE_USDT,1646882996000,0
NEIROCTO_USDT,1726475766000,0
ICP_USDT,1620787526000,0
AIXBT_USDT,1733226467000,1733227260000
XAI_USDT,1704882871000,0
POL_USDT,1725435422000,0
ETHFI_USDT,1710769628000,0
MEME_USDT,1698999601000,0
TURBO_USDT,1683287158000,0
1000BONK_USDT,1682234025000,0
BOME_USDT,1710501643000,0
STRK_USDT,1708437643000,0
MANTA_USDT,1705580169000,0
ETC_USDT,1592558889000,0
MELANIA_USDT,1737335430000,0
GRT_USDT,1608368424000,0
LUNC_USDT,1653564718000,0
GOAT_USDT,1729159808000,1729161000000
RAY_USDT,1631009302000,0
THE_USDT,1732623934000,0
AR_USDT,1635912011000,0
BEAMX_USDT,1700450026000,0
VET_USDT,1619621849000,0
PYTH_USDT,1700494512000,0
DOG_USDT,1721806494000,0
ZKSYNC_USDT,1718623625000,0
BRETT_USDT,1714138305000,0
BAN_USDT,1731553657000,1731554400000
VRA_USDT,1644833797000,0
IO_USDT,1718111471000,0
SONIC_USDT,1736139897000,1736251380000
USUAL_USDT,1734428200000,1734519660000
1INCH_USDT,1608891389000,0
ROSE_USDT,1640921829000,0
STX_USDT,1676865206000,0
TRU_USDT,1678352484000,0
CHILLGUY_USDT,1732184010000,1732184735000
TOKEN_USDT,1699013318000,0
ZIL_USDT,1603252052000,0
VELO_USDT,1685328764000,0
CKB_USDT,1679366932000,0
PONKE_USDT,1718073380000,0
KAIA_USDT,1730348222000,1730349240000
